14.3,63.5,27.5
7.6,63.2,27.5
10.6,63.2,27.5
19.4,63.0,27.5
7.3,62.9,27.5
0.0,62.1,27.5
6.5,62.2,27.5
8.9,62.8,27.5
18.3,64.6,27.5
26.0,66.9,27.5
30.4,70.3,27.5
18.4,70.1,27.5
12.3,69.2,27.5
12.8,69.5,27.5
11.6,69.7,27.5
33.3,69.3,27.5
11.6,69.4,27.5
10.9,70.4,27.5
15.8,71.0,27.5
15.9,70.6,27.5
9.4,70.2,27.5
8.6,70.2,27.5
7.6,70.3,27.5
13.8,70.3,27.5
7.7,56.2,27.5
7.2,56.1,27.5
0.0,56.4,27.5
8.7,56.2,27.5
5.7,56.1,27.5
12.2,56.8,27.5
23.2,59.3,27.5
16.7,58.9,27.5
8.5,58.9,27.5
8.6,58.9,27.5
6.2,58.9,27.5
10.8,59.4,27.5
21.2,61.9,27.5
23.4,62.1,27.5
11.5,61.7,27.5
7.0,61.9,27.5
13.7,60.0,27.5
10.3,56.6,27.5
4.5,56.4,27.5
16.5,71.5,27.5
12.4,71.6,27.5
